price_level,vegan_options,gluten_free,open_days_per_week,avg_rating,total_reviews_count,food,service,atmosphere,excellent,location,awards,cuisine,top_tag
€€-€€€,Y,Y,7.0,4.5,482,4.5,4.5,,50,Barcelona,"Travellers' Choice, Certificate of Excellence 2020",Mediterranean,Mid-range
€,Y,N,7.0,4.0,1332,4.0,3.5,4.0,195,Barcelona,"Certificate of Excellence 2016, Certificate of Excellence 2015, Certificate of Excellence 2014",Chinese,Cheap Eats
€€€€,Y,Y,7.0,4.5,260,4.5,4.5,,53,Barcelona,"Travellers' Choice, Michelin 2021 for The Michelin Plate: Good cooking, Michelin 2021 for Simple restaurant",Mediterranean,Fine Dining
€€-€€€,Y,Y,7.0,4.5,286,4.0,4.0,,33,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Healthy,Mid-range
€€-€€€,N,Y,7.0,4.5,275,4.5,4.5,,28,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Steakhouse,Mid-range
€,N,N,,4.0,152,4.5,4.0,,52,Barcelona,,Mexican,Cheap Eats
€€-€€€,Y,Y,7.0,4.0,290,4.0,4.0,,66,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Mediterranean,Mid-range
€€-€€€,Y,Y,7.0,4.5,114,4.5,4.5,,24,Barcelona,Certificate of Excellence 2019,Italian,Mid-range
€€-€€€,Y,Y,5.0,5.0,418,4.5,5.0,,103,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Mediterranean,Mid-range
€€-€€€,Y,Y,7.0,5.0,944,5.0,5.0,,480,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Cafe,Mid-range
€€€€,N,N,,4.5,201,4.5,4.5,,51,Barcelona,"Travellers' Choice, Michelin 2021 for One Michelin Star: High quality cooking, worth a stop!, Michelin 2021 for Very comfortable restaurant",,Fine Dining
€€-€€€,Y,Y,6.0,4.5,115,4.5,4.5,,28,Barcelona,"Travellers' Choice, Certificate of Excellence 2020, Certificate of Excellence 2019",Mediterranean,Mid-range
€€-€€€,N,N,7.0,3.5,146,4.0,4.0,,16,Barcelona,,Mediterranean,Mid-range
€€-€€€,N,N,6.0,3.5,288,3.5,4.0,3.5,30,Barcelona,,Mediterranean,Mid-range
